TransactionId,TransactionDate,BusinessUnit,DepartmentName,ProjectName,Country,Account,Amount
T16689,2024-12-01 00:00:00,Retail,Field Operations,Yield Improvement,DRC,10002,1783
T05553,2024-12-01 00:00:00,Education,Logistics,Yield Improvement,KE,10001,50
T17646,2024-12-01 00:00:00,Education,Finance,Farmer Training,TZ,10005,714
T09095,2024-12-01 00:00:00,Education,Finance,Trees,KE,10004,2438
T17650,2024-12-01 00:00:00,Core Program,Logistics,Trees,UG,10001,1841
T05544,2024-12-01 00:00:00,Retail,Finance,Yield Improvement,DRC,10002,1223
T16292,2024-12-01 00:00:00,Education,Field Operations,Expansion,KE,10005,5900
T11426,2024-12-01 00:00:00,Education,M&E,Soil Health,TZ,10005,4733
T09119,2024-12-01 00:00:00,Core Program,Field Operations,Farmer Training,RW,10003,1704
T00726,2024-12-01 00:00:00,Core Program,Logistics,Farmer Training,UG,10002,5491
T16288,2024-12-01 00:00:00,Retail,Finance,Farmer Training,DRC,10002,2976
T09136,2024-12-01 00:00:00,Agri,Finance,Expansion,DRC,10001,3830
T14322,2024-12-01 00:00:00,Retail,Finance,Trees,RW,10005,1445
T19135,2024-12-01 00:00:00,Health,M&E,Soil Health,RW,10003,4869
T05510,2024-12-01 00:00:00,Agri,Logistics,Soil Health,UG,10005,5793
T00737,2024-12-01 00:00:00,R&D,Logistics,Trees,TZ,10001,6332
T23990,2024-12-01 00:00:00,Agri,Field Operations,Soil Health,DRC,10002,4166
T19128,2024-12-01 00:00:00,Health,Logistics,Yield Improvement,KE,10004,653
T15682,2024-12-01 00:00:00,R&D,Finance,Yield Improvement,UG,10001,4367
T17687,2024-12-01 00:00:00,Core Program,Finance,Farmer Training,DRC,10001,25134
T01577,2024-12-01 00:00:00,Core Program,Logistics,Expansion,TZ,10003,4402
T05487,2024-12-01 00:00:00,Health,Field Operations,Trees,TZ,10002,12032
T17688,2024-12-01 00:00:00,Core Program,M&E,Yield Improvement,DRC,10003,5868
T01575,2024-12-01 00:00:00,Agri,M&E,Yield Improvement,UG,10001,3673
T09187,2024-12-01 00:00:00,Education,Finance,Expansion,TZ,10002,6583
T03508,2024-12-01 00:00:00,R&D,Finance,Soil Health,TZ,10003,645
T17639,2024-12-01 00:00:00,R&D,M&E,Farmer Training,KE,10001,4915
T22756,2024-12-01 00:00:00,Health,M&E,Soil Health,KE,10003,1887
T09065,2024-12-01 00:00:00,Retail,Logistics,Yield Improvement,DRC,10001,1459
T09053,2024-12-01 00:00:00,Agri,Logistics,Trees,UG,10002,1490
T21395,2024-12-01 00:00:00,Agri,Finance,Trees,TZ,10003,3258
T05655,2024-12-01 00:00:00,Retail,Finance,Trees,RW,10005,50
T11589,2024-12-01 00:00:00,R&D,M&E,Trees,KE,10001,2067
T03345,2024-12-01 00:00:00,R&D,M&E,Trees,TZ,10002,654
T05646,2024-12-01 00:00:00,R&D,Field Operations,Yield Improvement,RW,10005,5057
T22801,2024-12-01 00:00:00,Agri,Finance,Farmer Training,DRC,10003,4013
T11564,2024-12-01 00:00:00,Agri,Field Operations,Farmer Training,KE,10005,3248
T09016,2024-12-01 00:00:00,Retail,Field Operations,Expansion,KE,10004,4534
T11562,2024-12-01 00:00:00,Health,M&E,Soil Health,DRC,10004,6001
T17593,2024-12-01 00:00:00,Health,M&E,Yield Improvement,DRC,10004,2623
T21415,2024-12-01 00:00:00,Education,Logistics,Trees,TZ,10003,13145
T16342,2024-12-01 00:00:00,R&D,Field Operations,Farmer Training,RW,10004,4331
T23998,2024-12-01 00:00:00,R&D,Logistics,Expansion,KE,10002,3430
T05623,2024-12-01 00:00:00,Agri,Finance,Yield Improvement,TZ,10002,19431
T17615,2024-12-01 00:00:00,Education,Finance,Soil Health,UG,10001,7184
T00690,2024-12-01 00:00:00,R&D,Finance,Yield Improvement,RW,10004,18042
T09023,2024-12-01 00:00:00,Retail,Finance,Trees,KE,10002,5377
T16336,2024-12-01 00:00:00,Core Program,M&E,Farmer Training,RW,10005,1720
T17617,2024-12-01 00:00:00,Health,Finance,Expansion,UG,10004,3960
T03399,2024-12-01 00:00:00,R&D,Logistics,Farmer Training,DRC,10005,650
T00697,2024-12-01 00:00:00,Core Program,M&E,Expansion,UG,10002,698
T22760,2024-12-01 00:00:00,Core Program,Field Operations,Yield Improvement,DRC,10003,3207
T03408,2024-12-01 00:00:00,Core Program,Logistics,Expansion,DRC,10001,320
T14367,2024-12-01 00:00:00,Core Program,Finance,Soil Health,DRC,10001,2227
T21436,2024-12-01 00:00:00,Core Program,Field Operations,Trees,DRC,10002,312
T11496,2024-12-01 00:00:00,Retail,Field Operations,Yield Improvement,UG,10001,2453
T22769,2024-12-01 00:00:00,Core Program,Finance,Soil Health,DRC,10003,4000
T22823,2024-12-01 00:00:00,Retail,Field Operations,Yield Improvement,TZ,10002,511
T00753,2024-12-01 00:00:00,R&D,Finance,Farmer Training,DRC,10005,4894
T03518,2024-12-01 00:00:00,Health,Logistics,Trees,UG,10002,1038
T17799,2024-12-01 00:00:00,Health,Field Operations,Farmer Training,KE,10003,2921
T17803,2024-12-01 00:00:00,Core Program,M&E,Expansion,RW,10003,5161
T14233,2024-12-01 00:00:00,R&D,Finance,Soil Health,UG,10001,2405
T21558,2024-12-01 00:00:00,Core Program,Logistics,Soil Health,TZ,10002,4470
T09298,2024-12-01 00:00:00,Education,Logistics,Trees,UG,10005,4081
T09304,2024-12-01 00:00:00,R&D,Finance,Expansion,KE,10005,1954
T03655,2024-12-01 00:00:00,Core Program,Field Operations,Farmer Training,KE,10004,4128
T21575,2024-12-01 00:00:00,Core Program,Finance,Expansion,RW,10001,2239
T17820,2024-12-01 00:00:00,Retail,Finance,Soil Health,RW,10002,2676
T17824,2024-12-01 00:00:00,Education,Field Operations,Soil Health,KE,10004,4620
T24485,2024-12-01 00:00:00,Retail,M&E,Soil Health,KE,10003,983
T15767,2024-12-01 00:00:00,Education,Finance,Yield Improvement,UG,10001,1286
T21580,2024-12-01 00:00:00,Core Program,Logistics,Trees,TZ,10001,3656
T09323,2024-12-01 00:00:00,Agri,Field Operations,Farmer Training,TZ,10002,4057
T09330,2024-12-01 00:00:00,Health,Field Operations,Yield Improvement,RW,10003,3821
T11222,2024-12-01 00:00:00,R&D,M&E,Farmer Training,RW,10005,4789
T00834,2024-12-01 00:00:00,Retail,Field Operations,Expansion,UG,10002,4846
T19035,2024-12-01 00:00:00,Health,Field Operations,Farmer Training,RW,10001,1068
T17833,2024-12-01 00:00:00,R&D,Logistics,Trees,TZ,10001,3577
T21598,2024-12-01 00:00:00,Retail,Finance,Yield Improvement,DRC,10001,3208
T15783,2024-12-01 00:00:00,Health,Logistics,Yield Improvement,UG,10002,3060
